32268105 40858538 20366359
58162023 227607681 126075225
61229284 272708410 185778279
274014036 109849830 249682990
142207853 316341533 254370916
418531805 110841438 163263703
15012800 487592930 52311202
185154449 479005419 39815701
19148635 124113714 523250227
103984876 123769809 535252731
67609031 30197089 573859686
504999107 312631454 73731937
263320532 548576692 94601166
473064973 134693223 395470192
321683906 393917999 400299313
188664595 287026701 566852091
204754149 614174579 197565715
456269592 80837221 511634908
396066627 511786598 271463876
406985977 424993044 406359415
164944284 83195730 703159275
471126273 534665085 195472950
399624930 566531812 288684527
558886677 418067319 304615399
428971176 36656834 640994726
398971476 360287725 569221881
303471591 613827924 401347032
648384951 249816353 405234278
458513310 288376537 608363156
363115693 671433522 310693491
178761483 371493783 724295094
366545648 35803510 757234857
598057661 479037285 370324628
510942450 445390875 528257525
641487656 55019850 581229216
283685515 621487285 548553391
491994649 167356394 714978278
494207168 683071023 290472301
634978024 200700638 603733119
535664483 723328663 106069671
462112173 50175303 787202231
629738184 520897693 427909008
139657846 728753267 560605834
591799964 620302996 379315958
685064383 107494963 640758133
832024130 416093495 196430059
583476846 739599723 172670298
789914307 220300562 508405369
389638801 582630665 672700343
473022531 340227713 785679401
744666231 639508521 82136931
781109635 110700313 600235689
824257127 522481790 206300872
848293114 537240116 13220271
724692492 379027801 594039498
46789236 415207560 927355982
641416237 532913392 593313490
527891899 869338177 160191202
317227877 796286928 582574484
263978830 522380076 863426133
772117903 200938578 681959498
986828938 253372811 277835503
401931527 256201491 950360035
190017048 573078341 883466903
363984497 294221536 969771814
486409330 520832143 816334904
460151002 966636593 211498038
879169049 266942945 601442195
202780881 551396712 936148007
702371478 425876800 750674433
537058721 770485634 611184528
272347319 802605945 744385667
389011772 411547776 984313376
832193352 33970723 782059315
566328289 378440480 926857524
64554994 722974100 902569874
488901580 999632539 351600552
971784334 516130764 412809824
886072564 172025333 765962479
653533319 567804132 819861084
814179900 588999165 657423063
956196310 262871626 692129129
689167237 968791594 264720983
282602896 805546098 881899949
847021094 583825778 688604880
493079168 622597169 961711592
751294204 993338808 177352771
849822116 873233386 356280780
873588367 918551546 181335353
825092292 431056350 897360031
978410375 568990855 649886589
944336057 514078618 761342520
796502555 482498037 951108226
598117874 996665698 678267761
884837802 625233214 821494659
976774096 874446443 423358556
875950046 717183858 818830309
889282762 996331930 485886026
926091244 940941006 612433971
823902496 815359139 956703830
919988591 996439344 870583874
